"","Canton","Nombre","Tipo","X","Y"
"1","Quepos","Municipalidad de Quepos, Calle Central, Los Ángeles, El Cerro, Quepos, Cantón Quepos, Puntarenas Province, 60601, Costa Rica","Town Hall","-84.1625859","9.4313011"
"2","Osa","Municipalidad de Osa, Transversal 3, Montreal, Canadá, Puerto Cortés, Cantón Osa, Puntarenas Province, 60501, Costa Rica","Town Hall","-83.5326761","8.9787376"
"3","Pérez Zeledón","Municipalidad de Pérez Zeledón, Avenida 2, Hospital Viejo, San Isidro de El General, Cantón Pérez Zeledón, San Jose Province, 11901, Costa Rica","Town Hall","-83.7027928","9.3730051"
"4","Parrita","Municipalidad de Parrita, Carretera Pacífica Fernández Oreamuno, Buena Nota, Parrita, Cantón Parrita, Puntarenas Province, 60901, Costa Rica","Town Hall","-84.3620995","9.5293179"
"5","Tarrazú","Municipalidad de Tarrazú, Avenida Central, Corea, San Marcos, Cantón Tarrazú, San Jose Province, 10501, Costa Rica","Town Hall","-84.0217673","9.6588391"
"6","Dota","Municipalidad de Dota, Avenida 1, El Invu, Santa María, Cantón Dota, San Jose Province, 11701, Costa Rica","Town Hall","-83.9696490","9.6533286"
"7","Puriscal","Municipalidad de Puriscal, Avenida 1, Santa Cecilia, Santiago, Cantón Puriscal, San Jose Province, 10401, Costa Rica","Town Hall","-84.3144733","9.8474914"
"8","Paraíso","Municipalidad de Paraíso, Avenida 0, La Joya, Paraíso, Cantón Paraíso, Cartago Province, 30201, Costa Rica","Town Hall","-83.8657837","9.8392836"
"9","Corredores","Municipalidad de Corredores, Avenida 7, San Juan, Neily, Corredor, Cantón Corredores, Puntarenas Province, 61001, Costa Rica","Town Hall","-82.9417679","8.6490816"
"10","Golfito","Municipalidad de Golfito, Avenida 1, Pueblo Civil, Golfito, Cantón Golfito, Puntarenas Province, 60701, Costa Rica","Town Hall","-83.1538376","8.6254280"
"11","Coto Brus","Municipalidad de Coto Brus, Vía 613, María Auxiliadora, San Vito, Cantón Coto Brus, Puntarenas Province, 60801, Costa Rica","Town Hall","-82.9702222","8.8200104"
"12","Buenos Aires","Municipalidad de Buenos Aires, Avenida 1, San Martín, Buenos Aires, Cantón Buenos Aires, Puntarenas Province, 60301, Costa Rica","Town Hall","-83.3356079","9.1727709"
"13","Talamanca","Municipalidad de Talamanca, Avenida Central, Cruce de Bribri, Bribri, Bratsi, Cantón Talamanca, Limón Province, 70401, Costa Rica","Town Hall","-82.8512749","9.6254121"
"14","Garabito","Municipalidad de Garabito, Avenida Pastor Díaz, Los Cholos, Jacó, Cantón Garabito, Puntarenas Province, 61101, Costa Rica","Town Hall","-84.6220874","9.6099467"
"15","León Cortés Castro","Municipalidad de León Cortés Castro, Avenida 1, San Francisco, San Pablo, Cantón León Cortés Castro, San Jose Province, 12001, Costa Rica","Town Hall","-84.0418109","9.6836891"
"16","Aserrí","Municipalidad de Aserrí, Calle 2, Barrio Lomas de Aserrí, Aserrí, Cantón Aserrí, San Jose Province, 10601, Costa Rica","Town Hall","-84.0932780","9.8627578"
"17","Desamparados","Municipalidad de Desamparados, Calle 2, Palogrande, Desamparados, Cantón Desamparados, San Jose Province, 10301, Costa Rica","Town Hall","-84.0651069","9.8988373"
"18","Acosta","Municipalidad de Acosta;Banco de Costa Rica, Avenida 1, Loyola, San Ignacio, Cantón Acosta, San Jose Province, 11201, Costa Rica","Townhall;bank","-84.1614287","9.7990851"
"19","Turrubares","Municipalidad de Turrubares, Calle 2, Imas, San Pablo, Cantón Turrubares, San Jose Province, 11601, Costa Rica","Town Hall","-84.4410890","9.9083746"
