"","Estado.del.concurso","Fecha.hora.de.publicación","Número.de.procedimiento","Nombre","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"1","En evaluación","02/05/2022 15:25","2022LN-000001-0021700001","Heredia","20220402880-01 20220402880-02 20220402880-03 20220402880-04 20220402880-05 20220402880-06 20220402880-07","20220402880-00","CONTRATACION PARA SUMINISTRO MEZCLA ASFALTICA EN CARPETAS Y OTROS EN CUMPLIMIENTO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación pública nacional","Según demanda","04/08/2022 07:00","08/08/2022 10:00","08/08/2022 10:00","60 Días hábiles",283767.29,"",NA,401
"2","Adjudicación en firme","07/06/2022 14:53","2022LA-000001-0003100001","Puntarenas","20220600067-01 20220600067-02 20220600067-03 20220600067-04 20220600067-05","20220600067-00","ADQUISICION DE UNIFORMES PARA LOS FUNCIONARIOS DE LA MUNICIPALIDAD DE PUNTARENAS, BAJO LA MODALIDAD DE ENTREGA SEGÚN DEMANDA POR UN PERIODO DE CUATRO AÑOS.","Bienes","Licitación abreviada","Según demanda","07/06/2022 15:00","31/08/2022 15:00","31/08/2022 15:00","20 Días hábiles",17746000,"",NA,601
"3","Contrato","06/07/2022 09:12","2022LA-000001-0021300211","Zarcero","20220700524-01 20220700524-02","20220700524-00","Adquisición de servicio para elaboración Plan conservación, desarrollo y seguridad vial Red vial (Plan Quinquenal), Municipalidad de Zarcero","Servicios","Licitación abreviada","Servicios","07/07/2022 08:00","03/08/2022 08:45","03/08/2022 09:00","24 Días hábiles",2.4e+07,"",NA,211
"4","Contrato","07/07/2022 09:28","2022LA-000017-0021700001","Heredia","20220700716-01 20220700716-02","20220700716-00","CONTRATACIÓN SUMINISTRO E INSTALACIÓN DE MOBILIARIO URBANO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Según demanda","22/07/2022 08:00","27/07/2022 09:00","27/07/2022 09:00","20 Días hábiles",1e+06,"",NA,401
"5","Contrato","21/07/2022 15:51","2022CD-000157-0021700001","Heredia","20220702639-01 20220702639-02","20220702639-00","CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA INTERPRETE DE LESCO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Según demanda","22/07/2022 06:00","28/07/2022 10:00","28/07/2022 10:00","6 Días hábiles",405000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"6","Contrato","22/07/2022 08:34","2022CD-000013-0004300001","Corredores","","20220700581-00","COMPRA DE 2 HIDROLAVADORAS Y 1 MOTOSIERRA PARA LA UTGV DE LA MUNICIPALIDAD DE CORREDORES","Bienes","Contratación directa","Cantidad definida","22/07/2022 09:00","28/07/2022 12:00","28/07/2022 12:00","10 Días hábiles",1035000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",610
"7","Contrato","22/07/2022 12:10","2022LA-000010-0022030101","Cartago","","20220702401-00","CONTRATACION PARA LA COMPRA E INSTALACIÓN DE 14 RTU PARA EL ACUEDUCTO DE LA MUNICIPALIDAD DE CARTAGO","Bienes/servicios","Licitación abreviada","Cantidad definida","26/07/2022 12:00","10/08/2022 12:00","10/08/2022 12:01","24 Días hábiles",9.8e+07,"",NA,301
"8","Contrato","22/07/2022 13:39","2022CD-000041-0021911601","Turrubares","20220702528-01","20220702528-00","COMPRA DE LLANTAS PARA LOS EQUIPOS SM-4911, SM-7161 Y SM-7324 DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","26/07/2022 10:00","29/07/2022 11:00","29/07/2022 11:01","10 Días hábiles",3940000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"9","Contrato","26/07/2022 16:56","2022CD-000146-0003200001","Carrillo","","20220703012-00","Compra de mesas de concreto para jardines internos de la Municipalidad","Bienes","Contratación directa","Cantidad definida","26/07/2022 18:00","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles",250000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",505
"10","Desierto/Infructuoso","27/07/2022 07:56","2022LA-000002-0003300001","Moravia","","20220701526-00","Alquiler de Terreno para resguardo de Camiones y Materiales de la Municipalidad de Moravia","Servicios","Licitación abreviada","Servicios","27/07/2022 09:00","09/08/2022 10:00","09/08/2022 10:05","16 Días hábiles",3e+07,"",NA,114
