"","Funcionarios.relacionados","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Nombre.de.la.institución","Concurso.confidencial","Encargado.de.publicación..gestión.de.objeciones.y.apertura","Elaborador","Encargado.de.solicitar.estudio.de.ofertas.recomendación.del.acto.final","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico"
"1","Funcionarios relacionados con el concurso","En evaluación","02/05/2022 15:25","Real","2022LN-000001-0021700001","-","Municipalidad de Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220402880-01 20220402880-02 20220402880-03 20220402880-04 20220402880-05 20220402880-06 20220402880-07","20220402880-00","CONTRATACION PARA SUMINISTRO MEZCLA ASFALTICA EN CARPETAS Y OTROS EN CUMPLIMIENTO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","LICITACIÓN PÚBLICA NACIONAL","Según demanda","En línea","https://www.sicop.go.cr","04/08/2022 07:00","08/08/2022 10:00","08/08/2022 10:00","60 Días hábiles","283.767,29 [CRC]","",NA
"2","Funcionarios relacionados con el concurso","Adjudicación en firme","07/06/2022 14:53","Real","2022LA-000001-0003100001","-","Municipalidad de Puntarenas","No","LUIS EDWARD ROJAS BARRANTES","LUIS EDWARD ROJAS BARRANTES","LUIS EDWARD ROJAS BARRANTES","Modificar","20220600067-01 20220600067-02 20220600067-03 20220600067-04 20220600067-05","20220600067-00","ADQUISICION DE UNIFORMES PARA LOS FUNCIONARIOS DE LA MUNICIPALIDAD DE PUNTARENAS, BAJO LA MODALIDAD DE ENTREGA SEGÚN DEMANDA POR UN PERIODO DE CUATRO AÑOS.","BIENES","LICITACIÓN ABREVIADA","Según demanda","En línea","https://www.sicop.go.cr","07/06/2022 15:00","31/08/2022 15:00","31/08/2022 15:00","20 Días hábiles","17.746.000 [CRC]","",NA
"3","Funcionarios relacionados con el concurso","Contrato","06/07/2022 09:12","Real","2022LA-000001-0021300211","-","Municipalidad de Zarcero","No","MARIA VANESSA SALAZAR HUERTAS","MARIA VANESSA SALAZAR HUERTAS","MARIA VANESSA SALAZAR HUERTAS","Modificar","20220700524-01 20220700524-02","20220700524-00","Adquisición de servicio para elaboración Plan conservación, desarrollo y seguridad vial Red vial (Plan Quinquenal), Municipalidad de Zarcero","SERVICIOS","LICITACIÓN ABREVIADA","Servicios","En línea","https://www.sicop.go.cr","07/07/2022 08:00","03/08/2022 08:45","03/08/2022 09:00","24 Días hábiles","24.000.000 [CRC]","",NA
"4","Funcionarios relacionados con el concurso","Contrato","07/07/2022 09:28","Real","2022LA-000017-0021700001","-","Municipalidad de Heredia","No","SILVIA ELENA ESPINOZA QUESADA","SILVIA ELENA ESPINOZA QUESADA","SILVIA ELENA ESPINOZA QUESADA","Modificar","20220700716-01 20220700716-02","20220700716-00","CONTRATACIÓN SUMINISTRO E INSTALACIÓN DE MOBILIARIO URBANO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","LICITACIÓN ABREVIADA","Según demanda","En línea","https://www.sicop.go.cr","22/07/2022 08:00","27/07/2022 09:00","27/07/2022 09:00","20 Días hábiles","1.000.000 [CRC]","",NA
"5","Funcionarios relacionados con el concurso","Contrato","20/07/2022 16:08","Real","2022LI-000002-0032100001","-","Unión Nacional de Gobiernos Locales","No","Fabiola Castro Lobo","Fabiola Castro Lobo","Fabiola Castro Lobo","Modificar","20220702411-01","20220702411-00","“Contratación para la Elaboración de Planes Proyecto en el marco del proyecto mUEve para las Municipalidades de Alajuela, San José, Tibás, Goicoechea y Montes de Oca","SERVICIOS","LICITACIÓN PÚBLICA INTERNACIONAL","Servicios","En línea","https://www.sicop.go.cr","20/07/2022 17:00","30/08/2022 17:00","30/08/2022 17:10","53 Días hábiles","163.797.963,12 [CRC]","241.419 [USD]",NA
"6","Funcionarios relacionados con el concurso","Contrato","21/07/2022 15:51","Real","2022CD-000157-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Modificar","20220702639-01 20220702639-02","20220702639-00","CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA INTERPRETE DE LESCO POR DEMANDA PARA LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Según demanda","En línea","https://www.sicop.go.cr","22/07/2022 06:00","28/07/2022 10:00","28/07/2022 10:00","6 Días hábiles","405.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"7","Funcionarios relacionados con el concurso","Contrato","22/07/2022 08:34","Real","2022CD-000013-0004300001","-","MUNICIPALIDAD DE CORREDORES","No","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Registro","","20220700581-00","COMPRA DE 2 HIDROLAVADORAS Y 1 MOTOSIERRA PARA LA UTGV DE LA MUNICIPALIDAD DE CORREDORES","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","22/07/2022 09:00","28/07/2022 12:00","28/07/2022 12:00","10 Días hábiles","1.035.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"8","Funcionarios relacionados con el concurso","Contrato","22/07/2022 12:10","Real","2022LA-000010-0022030101","-","Municipalidad de Cartago","No","KARLA MELISSA MONGE CHACON","KARLA MELISSA MONGE CHACON","KARLA MELISSA MONGE CHACON","Registro","","20220702401-00","CONTRATACION PARA LA COMPRA E INSTALACIÓN DE 14 RTU PARA EL ACUEDUCTO DE LA MUNICIPALIDAD DE CARTAGO","BIENES/SERVICIOS","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 12:00","10/08/2022 12:00","10/08/2022 12:01","24 Días hábiles","98.000.000 [CRC]","",NA
"9","Funcionarios relacionados con el concurso","Contrato","22/07/2022 13:39","Real","2022CD-000041-0021911601","-","Municipalidad de Turrubares","No","JESUS ALBERTO LOPEZ LOPEZ","JESUS ALBERTO LOPEZ LOPEZ","JESUS ALBERTO LOPEZ LOPEZ","Modificar","20220702528-01","20220702528-00","COMPRA DE LLANTAS PARA LOS EQUIPOS SM-4911, SM-7161 Y SM-7324 DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 10:00","29/07/2022 11:00","29/07/2022 11:01","10 Días hábiles","3.940.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"10","Funcionarios relacionados con el concurso","Contrato","26/07/2022 16:56","Real","2022CD-000146-0003200001","-","Municipalidad de Carrillo","No","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","Registro","","20220703012-00","Compra de mesas de concreto para jardines internos de la Municipalidad","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 18:00","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles","250.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"11","Funcionarios relacionados con el concurso","Desierto/Infructuoso","27/07/2022 07:56","Real","2022LA-000002-0003300001","-","Municipalidad de Moravia","No","JORGE MESEN SOLORZANO","JORGE MESEN SOLORZANO","JORGE MESEN SOLORZANO","Registro","","20220701526-00","Alquiler de Terreno para resguardo de Camiones y Materiales de la Municipalidad de Moravia","SERVICIOS","LICITACIÓN ABREVIADA","Servicios","En línea","https://www.sicop.go.cr","27/07/2022 09:00","09/08/2022 10:00","09/08/2022 10:05","16 Días hábiles","30.000.000 [CRC]","",NA
"12","Funcionarios relacionados con el concurso","Contrato","27/07/2022 08:19","Real","2022CD-000147-0003200001","-","Municipalidad de Carrillo","No","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","FERNANDO ANTONIO ACEVEDO ANGULO","Modificar","20220703032-01","20220703032-00","Compra de Plantas Ornamentales para Áreas Verdes de la Municipalidad","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","27/07/2022 08:30","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles","450.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"13","Funcionarios relacionados con el concurso","","27/07/2022 09:09","Real","2022LN-000002-0022500001","-","MUNICIPALIDAD DE GUÁCIMO","No","ZILENIA VENEGAS VARGAS","ZILENIA VENEGAS VARGAS","ZILENIA VENEGAS VARGAS","Sin efecto","20220703054-01","20220703054-00","Compra de Camión Recolector de Residuos Sólidos, Municipalidad de Guácimo. [Sin efecto]","BIENES","LICITACIÓN PÚBLICA NACIONAL","Cantidad definida","En línea","https://www.sicop.go.cr","01/08/2022 12:00","05/08/2022 12:00","05/08/2022 12:01","12 Días hábiles","120.000.000 [CRC]","",NA
"14","Funcionarios relacionados con el concurso","Contrato","27/07/2022 12:57","Real","2022CD-000023-0022900511","-","Municipalidad de Hojancha","No","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","Registro","","20220703126-00","Compra de Servicio de alimentacion para la Municipalidad de Hojancha","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","28/07/2022 15:30","29/07/2022 09:00","29/07/2022 10:00","5 Días hábiles","500.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"15","Funcionarios relacionados con el concurso","Desierto/Infructuoso","27/07/2022 13:49","Real","2022CD-000105-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Registro","","20220703147-00","SERVICIO DE ABASTECIMIENTO POR DEMANDA DE FOTOCOPIADO Y EMPASTE PARA LA MUNICIPALIDAD DE GRECIA","BIENES","CONTRATACIÓN DIRECTA","Según demanda","En línea","https://www.sicop.go.cr","27/07/2022 14:00","01/08/2022 11:00","01/08/2022 11:00","6 Días hábiles","500.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
