"","Canton","Nombre","X","Y"
"1","Quepos","Municipalidad de Quepos","-84.162597","9.4313697"
"2","Osa","Municipalidad de Osa","-83.5328312","8.9792126"
"3","Pérez Zeledón","Municipalidad de Pérez Zeledón","-83.702726","9.3731073"
"4","Parrita","Municipalidad de Parrita","-84.3620855","9.5292984"
"5","Tarrazú","Municipalidad de Tarrazú","-84.0217857","9.6588841"
"6","Dota","Municipalidad de Dota","-83.9696352","9.6532304"
"7","Puriscal","Municipalidad de Puriscal","-84.3145105","9.8473716"
"8","Paraíso","Municipalidad de Paraíso","-83.8657741","9.8393739"
"9","Corredores","Municipalidad de Corredores","-82.9418106","8.6491546"
"10","Golfito","Municipalidad de Golfito","-83.1537909","8.625445"
"11","Coto Brus","Municipalidad de Coto Brus","-82.9703275","8.819853"
"12","Buenos Aires","Municipalidad de Buenos Aires","-83.3356714","9.1725187"
"13","Talamanca","Municipalidad de Talamanca","-82.8513762","9.6254"
"14","Garabito","Municipalidad de Garabito","-84.6221384","9.6099664"
"15","León Cortés Castro","Municipalidad de León Cortés Castro","-84.041771","9.6836066"
"16","Aserrí","Municipalidad de Aserri","-84.0932517","9.8626824"
"17","Desamparados","Municipalidad de Desamparados","-84.0653317","9.8986966"
"18","Acosta","Municipalidad De Acosta","-84.1614676","9.7989622"
"19","Turrubares","Municipalidad de Turrubares","-84.4411023","9.9084391"
"20","El Guarco","Municipalidad de El Guarco","-83.9389074","9.8451601"
"21","Cartago","Municipalidad de Cartago","-83.9207449","9.8650196"
"22","Puntarenas","Municipalidad de Puntarenas","-84.8334051","9.9764857"
"23","Jiménez","Municipalidad de Jiménez","-83.7464643","9.8934034"
"24","Turrialba","Municipalidad de Turrialba","-83.6837679","9.9065214"
"25","Mora","Municipalidad de Mora","-84.2425659","9.9161468"
"26","Oreamuno","Municipalidad de Oreamuno","-83.9042961","9.8687393"
"27","Alajuelita","Municipalidad de Alajuelita","-84.1002115","9.9033668"
"28","Limón","Municipalidad de Limón","-83.0335113","9.9923092"
"29","La Unión","Municipalidad de La Unión","-83.9852271","9.9082735"
"30","Curridabat","Municipalidad de Curridabat","-84.0356547","9.915698"
"31","Orotina","Municipalidad de Orotina","-84.5239228","9.9112874"
"32","San José","Municipalidad de San José","-84.0947699","9.931413"
"33","Escazú","Palacio Municipal","-84.1402096","9.9204194"
"34","Alvarado","Municipalidad de Alvarado","-83.8106257","9.9162604"
"35","Santa Ana","Municipalidad de Santa Ana","-84.1811387","9.9331672"
"36","Nandayure","Municipalidad de Nandayure","-85.2515969","9.9952323"
