"","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Institución","Nombre","Concurso.confidencial","Enc.Pub.Gest.Apertu","Elaborador","Enc.Solic.Est.Ofert","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"1","En evaluación","02/05/2022 15:25","Real","2022LN-000001-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220402880-01 20220402880-02 20220402880-03 20220402880-04 20220402880-05 20220402880-06 20220402880-07","20220402880-00","Contratacion para suministro mezcla asfaltica en carpetas y otros en cumplimiento por demanda para la municipalidad de heredia","Bienes","Licitación pública nacional","Según demanda","En línea","https://www.sicop.go.cr","04/08/2022 07:00","08/08/2022 10:00","08/08/2022 10:00","60 Días hábiles",283767.29,"",NA,"401"
"2","Adjudicación en firme","07/06/2022 14:53","Real","2022LA-000001-0003100001","-","Municipalidad ","Puntarenas","No","Luis Edward Rojas Barrantes","Luis Edward Rojas Barrantes","Luis Edward Rojas Barrantes","Modificar","20220600067-01 20220600067-02 20220600067-03 20220600067-04 20220600067-05","20220600067-00","Adquisicion de uniformes para los funcionarios de la municipalidad de puntarenas, bajo la modalidad de entrega según demanda por un periodo de cuatro años.","Bienes","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","07/06/2022 15:00","31/08/2022 15:00","31/08/2022 15:00","20 Días hábiles",17746000,"",NA,"601"
"3","Contrato","06/07/2022 09:12","Real","2022LA-000001-0021300211","-","Municipalidad ","Zarcero","No","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Maria Vanessa Salazar Huertas","Modificar","20220700524-01 20220700524-02","20220700524-00","Adquisición de servicio para elaboración plan conservación, desarrollo y seguridad vial red vial (plan quinquenal), municipalidad de zarcero","Servicios","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","07/07/2022 08:00","03/08/2022 08:45","03/08/2022 09:00","24 Días hábiles",2.4e+07,"",NA,"211"
"4","Contrato","07/07/2022 09:28","Real","2022LA-000017-0021700001","-","Municipalidad ","Heredia","No","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Modificar","20220700716-01 20220700716-02","20220700716-00","Contratación suministro e instalación de mobiliario urbano por demanda para la municipalidad de heredia","Bienes","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","22/07/2022 08:00","27/07/2022 09:00","27/07/2022 09:00","20 Días hábiles",1e+06,"",NA,"401"
"5","Contrato","21/07/2022 15:51","Real","2022CD-000157-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Modificar","20220702639-01 20220702639-02","20220702639-00","Contratación de servicios profesionales para interprete de lesco por demanda para la municipalidad de heredia","Servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","22/07/2022 06:00","28/07/2022 10:00","28/07/2022 10:00","6 Días hábiles",405000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"6","Contrato","22/07/2022 08:34","Real","2022CD-000013-0004300001","-","Municipalidad ","Corredores","No","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Ericka Maria Castillo Concepción","Registro","","20220700581-00","Compra de 2 hidrolavadoras y 1 motosierra para la utgv de la municipalidad de corredores","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/07/2022 09:00","28/07/2022 12:00","28/07/2022 12:00","10 Días hábiles",1035000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","610"
"7","Contrato","22/07/2022 12:10","Real","2022LA-000010-0022030101","-","Municipalidad ","Cartago","No","Karla Melissa Monge Chacon","Karla Melissa Monge Chacon","Karla Melissa Monge Chacon","Registro","","20220702401-00","Contratacion para la compra e instalación de 14 rtu para el acueducto de la municipalidad de cartago","Bienes/servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 12:00","10/08/2022 12:00","10/08/2022 12:01","24 Días hábiles",9.8e+07,"",NA,"301"
"8","Contrato","22/07/2022 13:39","Real","2022CD-000041-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Modificar","20220702528-01","20220702528-00","Compra de llantas para los equipos sm-4911, sm-7161 y sm-7324 de la unidad de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 10:00","29/07/2022 11:00","29/07/2022 11:01","10 Días hábiles",3940000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"9","Contrato","26/07/2022 16:56","Real","2022CD-000146-0003200001","-","Municipalidad ","Carrillo","No","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Fernando Antonio Acevedo Angulo","Registro","","20220703012-00","Compra de mesas de concreto para jardines internos de la municipalidad","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","26/07/2022 18:00","28/07/2022 16:00","28/07/2022 16:01","4 Días hábiles",250000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","505"
"10","Desierto/Infructuoso","27/07/2022 07:56","Real","2022LA-000002-0003300001","-","Municipalidad ","Moravia","No","Jorge Mesen Solorzano","Jorge Mesen Solorzano","Jorge Mesen Solorzano","Registro","","20220701526-00","Alquiler de terreno para resguardo de camiones y materiales de la municipalidad de moravia","Servicios","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","27/07/2022 09:00","09/08/2022 10:00","09/08/2022 10:05","16 Días hábiles",3e+07,"",NA,"114"
